make,name
ADOX,CMS 20 II
ADOX,HR-50
ADOX,IR-HR PRO 50
ADOX,CHS 100 II
ADOX,SilverMax
ADOX,SCALA 50
ADOX,SCALA 160
AGFA,Copex Rapid
AGFA PHOTO,APX 100
AGFA PHOTO,APX 400
Argenti,Nanotomic X
Argenti,Scale-X
Argenti,PAN-X
Argenti,ARF+ Reporter Film Plus
Bergger,Pancro 400
CatLABS,X FILM 80
CatLABS,X FILM 320
Cinestill,bwXX
Cinestill,50D
Cinestill,800T
dubblefilm,Apollo
dubblefilm,Bubblegum
dubblefilm,Jelly
dubblefilm,Pacific
dubblefilm,Solar
dubblefilm,Stereo
Ferrania,P30
Film Washi,W'
Film Washi,V'
Film Washi,P'
Film Washi,A'
Film Washi,D'
Film Washi,F'
Film Washi,S'
Film Washi,Z'
Foma,FOMAPAN 100 'Classic'
Foma,FOMAPAN 200 'Creative'
Foma,FOMAPAN 400 'Action'
Foma,RETRO PAN 320 'Soft'
Foma,FOMAPAN R 100
FOTOIMPEX,CHM 100
FOTOIMPEX,CHM 400
FUJIFILM,Neopan ACROS 100 II
FUJIFILM,Neopan 400CN
FUJIFILM,FujiColor 100
FUJIFILM,FujiColor Superia Premium 400
FUJIFILM,FujiColor C200
FUJIFILM,FujiColor Superia X-tra 400
FUJIFILM,Fujicolor Pro 160NS
FUJIFILM,Fujicolor Pro 400H
FUJIFILM,Fujichrome Velvia 50
FUJIFILM,Fujichrome Velvia 100
FUJIFILM,Fujichrome Velvia 100F
FUJIFILM,Fujichrome Provia 100F
FUJIFILM,Instax mini
FUJIFILM,Instax wide
FUJIFILM,Instax Square
HOLGA,400
ILFORD,Pan 100
ILFORD,Pan 400
ILFORD,Pan F Plus
ILFORD,FP4 Plus
ILFORD,HP5 Plus
ILFORD,DELTA 100
ILFORD,DELTA 400
ILFORD,DELTA 3200
ILFORD,ORTHO PLUS
ILFORD,SFX 200
ILFORD,XP2 Super
JCH,Streetpan 400
Kentmere,PAN 100
Kentmere,PAN 400
Kodak,Tri-X
Kodak,T-MAX 100
Kodak,T-MAX 400
Kodak,T-MAX P3200
Kodak,ColorPlus 200
Kodak,Pro Image 100
Kodak,Gold 200
Kodak,Ultramax 400
Kodak,Ektar 100
Kodak,Portra 160
Kodak,Portra 400
Kodak,Portra 800
Kodak,Ektachrome E100
KONO!,MONOLIT 64
KONO!,REKORDER 100-200
KONO!,Donau 6
KONO!,Kolorit 125 Tungsten
KONO!,Kolorit 400 Tungsten
KONO!,Rotwild 400
KONO!,ALiEN 200
KONO!,UFO 200
KONO!,KATZ 200
KONO!,LUFT 200
KONO!,LIEBE 200
KONO!,WINTERMÄRCHEN 200
Kosmo Foto,Mono
Lomography,Fantome Kino
Lomography,Babylon Kino
Lomography,Earl Grey
Lomography,Orca
Lomography,Lady Grey
Lomography,Potsdam 100
Lomography,Berlin 400
Lomography,Color Negative 100
Lomography,Color Tiger 200
Lomography,Color Negative 400
Lomography,Color Negative 800
Lomography,Redscale XR 50-200
Lomography,LomoChrome Metropolis
Lomography,LomoChrome Purple XR
Lomography,Lobster Redscale
Lomography,XPro 200
Lomography,Peacock X-Pro
Oriental,SEAGULL 100
Oriental,SEAGULL 400
Polaroid,i-type film
Polaroid,600 film
Polaroid,SX-70 film
Polaroid Originals,Spectra film
Polaroid,8 x 10 film
Rera,Pan 400
Rera,Chrome 100
Revolog,Rasp
Revolog,Volvox
Revelog,Texture
Revolog,Plexus
Revolog,Laser
Revolog,Streak
Revolog,Tesla I
Revolog,Tesla II
Revolog,Kosmos
Revolog,Kolor
Revolog,460 nm
Revolog,600 nm
Rollei,RPX 25
Rollei,RPX 100
Rollei,RPX 400
Rollei,Ortho Plus
Rollei,Retro 80S
Rollei,SuperPan 200
Rollei,Retro 400S
Rollei,Infrared 400
Rollei,Blackbird
Rollei,Redbird
Rollei,CrossBird
Shanghai,GP3 100 PAN
Silberra,Orta 50
Silberra,Orta 100
Silberra,U200
Silberra,Ultima 100
Silberra,Ultima 160
Silberra,Ultima 200/Pan 200
Silberra,Cinema UN54
Silberra,Cinema 74N+
Silberra,Cinema 52XX
SPUR,DSX
SPUR,UR
SPUR,Ultra R 800
Street Candy,ATM 400
Svema / Astrum,МЗ-3 (MZ-3)
Svema / Astrum,ФН-64 (FN-64)
Svema / Astrum,Фoto-100 (Foto-100)
Svema / Astrum,Фoto-200 (Foto-200)
Svema / Astrum,Фoto-400 (Foto-400)
Svema / Astrum,А-2Ш (A-2SH)
Tasma / Astrum,НК-2Ш (NK-2)
Svema / Astrum,Color
Ultrafine,Xtreme 100
Ultrafine,Xtreme 400
Yodica,Antares
Yodica,Andromeda
Yodica,Atlas
Yodica,Pegasus
Yodica,Polaris
Yodica,Sirio
Yodica,Vega
